   0,    0,      0, 40
  36, -127,  -4572, 80
   9,   99,    891, 100
  13, -115,  -1495, 120
 101,   18,   1818, 120
   1,   13,     13, 100
 118,   61,   7198, 100
 -19, -116,   2204, 100
  -7,  -58,    406, 100
 -59,  -86,   5074, 180
 -27,  119,  -3213, 100
  18, -113,  -2034, 80
 -14,  -50,    700, 100
 -24,  -59,   1416, 120
  92,  -67,  -6164, 120
  45,  101,   4545, 140
  99,   10,    990, 120
-128,   32,   4096, 80
 -86,  -99,   8514, 120
-106,   19,  -2014, 100
  13,   83,   1079, 140
 107,  -43,  -4601, 160
   2,  -82,   -164, 140
  29,  -49,  -1421, 80
  35,   10,    350, 120
 -54,   60,  -3240, 80
 -14, -118,   1652, 140
  65,  -40,  -2600, 100
 120, -119, -14280, 120
 -21,  -74,   1554, 140
 -58,  -82,   4756, 140
 -68,   42,  -2856, 160
  11,  113,   1243, 100
-123,   79,  -9717, 100
  59,   58,   3422, 120
 126,   21,   2646, 140
 -15,  -39,    585, 120
  98,   76,   7448, 120
 -97, -113,  10961, 80
  -8,  -73,    584, 120
 -97,   92,  -8924, 120
  91, -119, -10829, 120
  73,  -48,  -3504, 100
 -41,   81,  -3321, 140
-106,   12,  -1272, 80
 -62,  -56,   3472, 100
 119,   61,   7259, 100
  18,  126,   2268, 80
 109,   57,   6213, 100
  31,  -45,  -1395, 120
-123,  120, -14760, 80
  91,   73,   6643, 140
  63,   42,   2646, 160
  88, -122, -10736, 100
-114, -100,  11400, 100
  -6,   38,   -228, 120
 115,  -93, -10695, 120
  47,  -77,  -3619, 120
  95,   68,   6460, 120
  -9,  -53,    477, 120
 -26,   90,  -2340, 160
  41,  -19,   -779, 120
 -38,  101,  -3838, 140
 -75,  -33,   2475, 80
 121,   68,   8228, 120
 -48,   42,  -2016, 160
 -85,   14,  -1190, 80
 -36, -102,   3672, 140
  -3,  -61,    183, 80
  86,   78,   6708, 120
 103,   10,   1030, 120
 -74,   56,  -4144, 80
 121,  -72,  -8712, 100
-108, -109,  11772, 120
   4,   89,    356, 140
 -37,   77,  -2849, 140
 -39,  109,  -4251, 140
 118,  -54,  -6372, 140
 -74, -107,   7918, 160
  70,    4,    280, 80
  -9,  105,   -945, 140
 -76, -120,   9120, 100
  40,   45,   1800, 140
 -57,   46,  -2622, 120
   8,   28,    224, 80
  -3,   41,   -123, 140
  28, -122,  -3416, 100
 -38,   61,  -2318, 100
 102,  112,  11424, 80
 115,  -70,  -8050, 140
  94,   -6,   -564, 100
 -43,   26,  -1118, 120
 -71,   55,  -3905, 100
-106,  -64,   6784, 60
  38,  -74,  -2812, 140
 125,  -36,  -4500, 100
-122,  120, -14640, 80
 126,  -37,  -4662, 120
 -49,  121,  -5929, 100
  -6,   97,   -582, 100
  23,  -95,  -2185, 120
-122,   80,  -9760, 120
 -11,   53,   -583, 140
  41,  -63,  -2583, 80
 -59, -104,   6136, 100
  75,  115,   8625, 100
 -20, -118,   2360, 140
  78,  -88,  -6864, 140
 -87,  -95,   8265, 120
  14,  -26,   -364, 100
 -97,   42,  -4074, 160
  42, -115,  -4830, 120
 -98,   56,  -5488, 80
 121,  -56,  -6776, 100
 -54,   19,  -1026, 100
 107,  -57,  -6099, 80
 -74,  -70,   5180, 140
 -60,  -71,   4260, 120
-110,  -76,   8360, 140
 127, -122, -15494, 100
  -6,  -14,     84, 100
  50,  -67,  -3350, 120
-124,  -28,   3472, 100
 -54,  -87,   4698, 160
 -95, -114,  10830, 100
  -5,   11,    -55, 100
 -17,  -55,    935, 120
  54,  117,   6318, 140
-113,  107, -12091, 140
-120,  -82,   9840, 140
-101, -110,  11110, 140
  40,   45,   1800, 140
  75,  -62,  -4650, 100
  30,   13,    390, 100
 -20,   24,   -480, 80
 -47, -122,   5734, 100
  65,   59,   3835, 100
 -40,   83,  -3320, 140
  86,   91,   7826, 140
 -30,    4,   -120, 80
 115,  -40,  -4600, 100
  18,  -72,  -1296, 100
  57,  -27,  -1539, 120
 -95,   43,  -4085, 140
-127,  -56,   7112, 100
  39,  -95,  -3705, 120
  31,    4,    124, 80
